Customer_ID,TotalSpending,Recency,Frequency
12346,77556.46,325,34
12347,4921.53,2,222
12348,2019.4,75,51
12349,4428.69,18,175
12350,334.4,310,17
12351,300.93,375,21
12352,2849.84,36,103
12353,406.76,204,24
12354,1079.4,232,58
12355,947.61,214,35
12356,6371.73,22,142
12357,18287.66,33,296
12358,3887.07,1,77
12359,8873.39,57,362
12360,4252.89,52,217
12361,511.25,287,29
12362,5356.23,3,267
12363,552.0,109,23
12364,1313.1,7,85
12365,641.38,291,22
12366,500.24,633,3
12367,168.9,4,11
12368,917.6999999999999,628,18
12369,1791.15,413,93
12370,4316.56,51,201
12371,4067.38,44,167
12372,1298.04,71,52
12373,1127.65,311,51
12374,2989.2200000000003,25,83
12375,457.5,10,17
12376,503.15,389,13
12377,3426.32,315,152
12378,5416.32,129,301
12379,1620.22,81,81
12380,9676.300000000001,21,277
12381,1845.31,4,87
12383,1850.56,184,99
12384,585.27,28,27
12385,1938.4,379,65
12386,401.9,337,10
12387,143.94,415,9
12388,3901.11,15,146
12389,1433.33,402,49
12390,549.84,79,32
12391,2724.84,21,267
12392,234.75000000000003,591,7
12393,2399.4500000000003,72,107
12394,1272.48,63,27
12395,4721.17,19,242
12396,931.43,674,65
12397,2409.9,35,126
12398,1635.6599999999999,45,85
12399,1962.3,119,110
12400,205.25,414,11
12401,84.3,303,5
12402,1256.9,323,70
12403,1019.36,49,9
12404,63.24,682,1
12405,1710.39,148,54
12406,6390.36,22,166
12407,1708.1200000000001,49,77
12408,4340.7699999999995,32,159
12409,23419.29,78,264
12410,1013.71,308,40
12411,346.9,409,22
12412,2596.93,74,127
12413,999.45,66,51
12414,952.41,217,28
12415,144458.37,24,928
12416,202.56,656,11
12417,6797.41,3,370
12418,2021.2,112,102
12419,503.01,385,25
12420,600.39,63,29
12421,1098.6,15,65
12422,5231.8,95,172
12423,2622.39,0,165
12424,3340.03,162,92
12425,1741.41,78,91
12426,1345.21,194,77
12427,825.8,21,31
12428,7956.46,25,294
12429,6204.41,9,153
12430,256.4,43,11
12431,10432.22,35,391
12432,5059.32,42,108
12433,16794.14,0,559
12434,1103.43,84,70
12435,13925.93,79,112
12436,509.01,99,16
12437,12683.4,1,564
12438,2906.85,14,98
12439,1142.88,682,71
12440,859.2,462,32
12441,173.55,366,11
12442,172.06,3,12
12443,485.31,732,21
12444,5005.46,21,177
12445,434.98,22,24
12446,1002.3100000000001,57,58
12447,476.49,243,26
12448,449.45,44,22
12449,4835.89,22,201
12450,688.2,156,37
12451,12669.88,10,511
12452,430.57,16,22
12453,707.09,134,43
12454,16679.78,56,40
12455,5879.95,73,227
12456,3181.04,44,125
12457,2995.91,66,85
12458,1777.49,71,84
12459,454.36,605,23
12460,326.65,456,18
12461,826.88,94,35
12462,1189.59,18,62
12463,1344.78,53,83
12464,1212.05,10,29
12465,742.1899999999999,17,47
12466,56.73,682,1
12467,132.8,423,9
12468,3670.74,187,150
12469,3070.54,522,76
12470,211.95,689,23
12471,39918.19,2,1136
12472,16249.289999999999,32,841
12473,3928.0499999999997,29,167
12474,12372.75,17,708
12475,1149.64,53,61
12476,14083.91,15,514
12477,20276.37,22,564
12478,680.99,3,36
12479,527.2,11,31
12480,5464.85,28,242
12481,12185.51,22,380
12482,23691.4,576,204
12483,5097.18,17,138
12484,6354.1,32,471
12485,708.1,529,34
12486,1037.28,431,49
12487,285.29999999999995,730,2
12488,1298.66,9,55
12489,334.93,336,15
12490,9823.64,5,462
12491,460.40000000000003,38,26
12492,715.21,63,42
12493,433.74,165,22
12494,1815.27,15,108
12495,357.4,640,17
12496,45.34,620,10
12497,6248.5,81,57
12498,403.70000000000005,21,23
12499,393.72,560,27
12500,5955.21,23,146
12501,2169.39,336,149
12502,3723.87,95,147
12503,1126.0,584,2
12504,779.05,18,20
12505,955.2,408,42
12506,73.5,232,23
12507,1844.06,134,50
12508,397.88,26,68
12509,176.5,284,7
12510,5178.02,142,145
12511,3084.02,428,190
12512,132.18,66,31
12513,612.29,112,35
12514,1597.76,267,84
12515,383.7,353,16
12516,2648.62,77,74
12517,2481.6,28,279
12518,2056.89,0,124
12519,716.54,63,39
12520,2634.26,79,152
12521,599.68,142,38
12522,192.72,39,12
12523,4352.35,19,249
12524,11126.11,9,240
12525,973.73,498,60
